"~start_node_id","~start_node_labels","~start_node_property_name","~start_node_property_attributes","~start_node_property_id","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_name","~end_node_property_id","~end_node_property_desc","~start_node_property_desc","~end_node_property_gloss","~start_node_property_gloss","~start_node_property_classes","~end_node_property_attributes","~end_node_property_kind"
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:190","elementSpec","docImprint",,"docImprint","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['contains the imprint statement (place and date of publication','publisher name)','as given (usually) at the foot of a title page.']",,"['document imprint']","['att.global','model.pLike.front','model.titlepagePart']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:191","elementSpec","docDate",,"docDate","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['contains the date of a document','as given on a title page or in a dateline.']",,"['document date']","['att.global','att.calendarSystem','att.cmc','att.datable','model.divWrapper','model.pLike.front','model.titlepagePart']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:194","elementSpec","g",,"g","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['represents a glyph','or a non-standard character.']",,"['character or glyph']","['att.global','att.typed','model.gLike']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:196","elementSpec","char",,"char","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","[]",,"[]","['att.global']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:197","elementSpec","glyph",,"glyph","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","[]",,"[]","['att.global']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:198","elementSpec","localProp",,"localProp","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['provides a locally defined character (or glyph) property.']",,"['locally defined property']","['att.global','att.gaijiProp']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:199","elementSpec","mapping",,"mapping","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","[]",,"['character mapping']","['att.global','att.datable','att.typed']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:200","elementSpec","unihanProp",,"unihanProp","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['holds the name and value of a normative or informative Unihan character (or glyph) property as part of its attributes.']",,"['unihan property']","['att.global','att.gaijiProp']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:201","elementSpec","unicodeProp",,"unicodeProp","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","['provides a Unicode property for a character (or glyph).']",,"['unicode property']","['att.global','att.gaijiProp']","['xml:id','n','xml:base','xml:space']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:203","elementSpec","metSym",,"metSym","BELONGS_TO_CLASS","4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:653","ClassSpec","att.global","att.global","provides attributes common to all elements in the TEI encoding scheme.","[]",,"['metrical notation symbol']","['att.global']","['xml:id','n','xml:base','xml:space']",
