"~id","~labels","gloss","name","id","desc","attributes","classes","kind"
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:506","elementSpec","['feature declaration']","fDecl","fDecl","['declares a single feature','specifying its name','organization','range of allowed values','and optionally its default value.']",,"['att.global','att.datcat']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:517","elementSpec","['feature']","f","f","[]",,"['att.global','att.datcat']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:518","elementSpec","['binary value']","binary","binary","['represents the value part of a feature-value specification which can contain either of exactly two possible values.']",,"['att.global','att.datcat','model.featureVal.single']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:519","elementSpec","['symbolic value']","symbol","symbol","['represents the value part of a feature-value specification which contains one of a finite list of symbols.']",,"['att.global','att.datcat','model.featureVal.single']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:520","elementSpec","['numeric value']","numeric","numeric","['represents the value part of a feature-value specification which contains a numeric value or range.']",,"['att.global','att.datcat','model.featureVal.single']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:521","elementSpec","['string value']","string","string","['represents the value part of a feature-value specification which contains a string.']",,"['att.global','att.datcat','model.featureVal.single']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:13","elementSpec","['availability']","availability","availability","['supplies information about the availability of a text','for example any restrictions on its use or distribution','its copyright status','any licence applying to it','etc.']",,"['att.global','att.declarable','model.biblPart','model.publicationStmtPart.detail']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:15","elementSpec","['series statement']","seriesStmt","seriesStmt","['groups information about the series','if any','to which a publication belongs.']",,"['att.global','att.declarable']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:17","elementSpec","['source description']","sourceDesc","sourceDesc","[]",,"['att.global','att.declarable']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:21","elementSpec","['project description']","projectDesc","projectDesc","['describes in detail the aim or purpose for which an electronic file was encoded','together with any other relevant information concerning the process by which it was assembled or collected.']",,"['att.global','att.declarable','model.encodingDescPart']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:22","elementSpec","['sampling declaration']","samplingDecl","samplingDecl","['contains a prose description of the rationale and methods used in selecting texts','or parts of a text','for inclusion in the resource.']",,"['att.global','att.declarable','model.encodingDescPart']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:23","elementSpec","['editorial practice declaration']","editorialDecl","editorialDecl","['provides details of editorial principles and practices applied during the encoding of a text.']",,"['att.global','att.declarable','model.encodingDescPart']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:24","elementSpec","['correction principles']","correction","correction","['states how and under what circumstances corrections have been made in the text.']",,"['att.global','att.declarable','model.editorialDeclPart']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:25","elementSpec","['normalization']","normalization","normalization","['indicates the extent of normalization or regularization of the original source carried out in converting it to electronic form.']",,"['att.global','att.declarable','model.editorialDeclPart']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:26","elementSpec","['quotation']","quotation","quotation","['specifies editorial practice adopted with respect to quotation marks in the original.']",,"['att.global','att.declarable','model.editorialDeclPart']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:27","elementSpec","['hyphenation']","hyphenation","hyphenation","['summarizes the way in which hyphenation in a source text has been treated in an encoded version of it.']",,"['att.global','att.declarable','model.editorialDeclPart']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:28","elementSpec","['segmentation']","segmentation","segmentation","['describes the principles according to which the text has been segmented','for example into sentences','tone-units','graphemic strata','etc.']",,"['att.global','att.declarable','model.editorialDeclPart']",
"4:acfb8eb9-28f8-44a8-ac58-60efa7ec3987:29","elementSpec","['standard values']","stdVals","stdVals","['specifies the format used when standardized date or number values are supplied.']",,"['att.global','att.declarable','model.editorialDeclPart']",
